"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"ペリクレス","ペリクレス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ペリクレスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"レオニダス","レオニダス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","レオニダスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"テミストクレス","テミストクレス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","テミストクレスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ミルティアデス","ミルティアデス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ミルティアデスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"アルキビアデス","アルキビアデス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アルキビアデスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ソクラテス","ソクラテス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ソクラテスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"プラトン","プラトン","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","プラトンは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"アリストテレス","アリストテレス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アリストテレスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ピタゴラス","ピタゴラス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ピタゴラスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ヘロドトス","ヘロドトス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ヘロドトスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"トゥキディデス","トゥキディデス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","トゥキディデスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ヒポクラテス","ヒポクラテス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ヒポクラテスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ユークリッド","ユークリッド","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ユークリッドは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"アルキメデス","アルキメデス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アルキメデスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"エラトステネス","エラトステネス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","エラトステネスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"アリスタルコス","アリスタルコス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アリスタルコスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"サッフォー","サッフォー","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","サッフォーは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"アイスキュロス","アイスキュロス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アイスキュロスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"ソフォクレス","ソフォクレス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ソフォクレスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","カタログのみ"
"エウリピデス","エウリピデス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","エウリピデスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","カタログのみ"
"アリストファネス","アリストファネス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","アリストファネスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","カタログのみ"
"フィディアス","フィディアス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","フィディアスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","カタログのみ"
"プトレマイオス","プトレマイオス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","プトレマイオスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","カタログのみ"
"スキピオ・アフリカヌス","スキピオ・アフリカヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","スキピオ・アフリカヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"カトー","カトー","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","カトーはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ティベリウス・グラックス","ティベリウス・グラックス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ティベリウス・グラックスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"マリウス","マリウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","マリウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"スラ","スラ","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","スラはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ポンペイウス","ポンペイウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ポンペイウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"クラッスス","クラッスス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","クラッススはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"キケロ","キケロ","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","キケロはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ブルートゥス","ブルートゥス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ブルートゥスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"アウグストゥス","アウグストゥス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","アウグストゥスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"リウィア","リウィア","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","リウィアはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ティベリウス","ティベリウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ティベリウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"クラウディウス","クラウディウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","クラウディウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ネロ","ネロ","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ネロはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ウェスパシアヌス","ウェスパシアヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ウェスパシアヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ティトゥス","ティトゥス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ティトゥスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"トラヤヌス","トラヤヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","トラヤヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"ハドリアヌス","ハドリアヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ハドリアヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
